direction,subject,CSP-LDA baseline,DatasetEA+SubjectEA+CSP-LDA,SessionEA+CSP-LDA,DSA+SEA+SessionEA+SourceWeight+CSPNet,best_combined_acc,best_combined_method,best_combined_delta,n_combined_pass70
lee2019->cho2017,52,55.0,74.0,76.5,80.5,80.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,25.5,3
lee2019->cho2017,24,51.5,69.5,73.5,76.5,76.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,25.0,2
lee2019->cho2017,25,54.5,63.5,66.0,78.5,78.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,24.0,1
lee2019->cho2017,46,49.6,67.1,71.67,73.3,73.3,DSA+SEA+SessionEA+SourceWeight+CSPNet,23.7,2
lee2019->cho2017,4,68.5,83.0,83.5,92.0,92.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,23.5,3
lee2019->cho2017,44,50.0,72.5,70.0,73.0,73.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,23.0,3
lee2019->cho2017,21,51.0,68.5,72.0,74.0,74.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,23.0,2
cho2017->lee2019,12,54.0,64.0,67.0,76.5,76.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,22.5,1
cho2017->lee2019,20,51.5,59.5,67.0,74.0,74.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,22.5,1
lee2019->cho2017,15,50.0,63.0,69.0,72.5,72.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,22.5,1
lee2019->cho2017,12,54.5,68.5,75.5,76.5,76.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,22.0,2
lee2019->cho2017,22,50.0,67.5,72.0,66.0,72.0,SessionEA+CSP-LDA,22.0,1
lee2019->cho2017,19,52.5,69.0,68.0,74.5,74.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,22.0,1
cho2017->lee2019,43,51.5,73.0,71.5,71.5,73.0,DatasetEA+SubjectEA+CSP-LDA,21.5,3
cho2017->lee2019,6,49.5,61.0,60.5,71.0,71.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,21.5,1
lee2019->cho2017,20,50.5,64.0,71.0,71.5,71.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,21.0,2
lee2019->cho2017,11,50.0,61.0,66.0,70.5,70.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,20.5,1
cho2017->lee2019,30,51.0,62.0,67.5,71.5,71.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,20.5,1
cho2017->lee2019,49,55.5,76.0,75.5,74.0,76.0,DatasetEA+SubjectEA+CSP-LDA,20.5,3
cho2017->lee2019,14,58.0,70.0,71.5,77.0,77.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,19.0,3
lee2019->cho2017,30,57.5,66.5,69.5,76.0,76.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,18.5,1
cho2017->lee2019,19,66.0,81.5,80.5,82.0,82.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,16.0,3
cho2017->lee2019,47,56.0,65.5,64.5,72.0,72.0,DSA+SEA+SessionEA+SourceWeight+CSPNet,16.0,1
lee2019->cho2017,1,54.5,63.5,70.5,67.5,70.5,SessionEA+CSP-LDA,16.0,1
cho2017->lee2019,17,57.0,71.0,72.5,72.0,72.5,SessionEA+CSP-LDA,15.5,3
cho2017->lee2019,29,65.0,79.0,77.5,70.0,79.0,DatasetEA+SubjectEA+CSP-LDA,14.0,3
cho2017->lee2019,42,57.0,71.0,68.5,70.5,71.0,DatasetEA+SubjectEA+CSP-LDA,14.0,2
lee2019->cho2017,9,57.9,63.3,62.92,71.2,71.2,DSA+SEA+SessionEA+SourceWeight+CSPNet,13.3,1
cho2017->lee2019,7,60.0,56.0,69.0,72.5,72.5,DSA+SEA+SessionEA+SourceWeight+CSPNet,12.5,1
lee2019->cho2017,36,59.5,70.5,71.5,69.5,71.5,SessionEA+CSP-LDA,12.0,2
cho2017->lee2019,22,67.0,72.5,79.0,79.0,79.0,SessionEA+CSP-LDA,12.0,3
